date_key,full_date,year,month,month_name,week_of_year,day_of_week,is_weekend
20260212,2026-02-12,2026,2,February,7,Thursday,False
20260213,2026-02-13,2026,2,February,7,Friday,False
20260214,2026-02-14,2026,2,February,7,Saturday,True
20260215,2026-02-15,2026,2,February,7,Sunday,True
20260216,2026-02-16,2026,2,February,8,Monday,False
20260217,2026-02-17,2026,2,February,8,Tuesday,False
20260218,2026-02-18,2026,2,February,8,Wednesday,False
20260219,2026-02-19,2026,2,February,8,Thursday,False
20260220,2026-02-20,2026,2,February,8,Friday,False
20260221,2026-02-21,2026,2,February,8,Saturday,True
20260222,2026-02-22,2026,2,February,8,Sunday,True
20260223,2026-02-23,2026,2,February,9,Monday,False
20260224,2026-02-24,2026,2,February,9,Tuesday,False
20260225,2026-02-25,2026,2,February,9,Wednesday,False
20260226,2026-02-26,2026,2,February,9,Thursday,False
20260227,2026-02-27,2026,2,February,9,Friday,False
20260228,2026-02-28,2026,2,February,9,Saturday,True
20260301,2026-03-01,2026,3,March,9,Sunday,True
20260302,2026-03-02,2026,3,March,10,Monday,False
20260303,2026-03-03,2026,3,March,10,Tuesday,False
20260304,2026-03-04,2026,3,March,10,Wednesday,False
20260305,2026-03-05,2026,3,March,10,Thursday,False
20260306,2026-03-06,2026,3,March,10,Friday,False
20260307,2026-03-07,2026,3,March,10,Saturday,True
20260308,2026-03-08,2026,3,March,10,Sunday,True
20260309,2026-03-09,2026,3,March,11,Monday,False
20260310,2026-03-10,2026,3,March,11,Tuesday,False
20260311,2026-03-11,2026,3,March,11,Wednesday,False
20260312,2026-03-12,2026,3,March,11,Thursday,False
20260313,2026-03-13,2026,3,March,11,Friday,False
20260314,2026-03-14,2026,3,March,11,Saturday,True
20260315,2026-03-15,2026,3,March,11,Sunday,True
20260316,2026-03-16,2026,3,March,12,Monday,False
20260317,2026-03-17,2026,3,March,12,Tuesday,False
20260318,2026-03-18,2026,3,March,12,Wednesday,False
20260319,2026-03-19,2026,3,March,12,Thursday,False
20260320,2026-03-20,2026,3,March,12,Friday,False
20260321,2026-03-21,2026,3,March,12,Saturday,True
20260322,2026-03-22,2026,3,March,12,Sunday,True
20260323,2026-03-23,2026,3,March,13,Monday,False
20260324,2026-03-24,2026,3,March,13,Tuesday,False
20260325,2026-03-25,2026,3,March,13,Wednesday,False
20260326,2026-03-26,2026,3,March,13,Thursday,False
20260327,2026-03-27,2026,3,March,13,Friday,False
20260328,2026-03-28,2026,3,March,13,Saturday,True
20260329,2026-03-29,2026,3,March,13,Sunday,True
20260330,2026-03-30,2026,3,March,14,Monday,False
20260331,2026-03-31,2026,3,March,14,Tuesday,False
20260401,2026-04-01,2026,4,April,14,Wednesday,False
20260402,2026-04-02,2026,4,April,14,Thursday,False
20260403,2026-04-03,2026,4,April,14,Friday,False
20260404,2026-04-04,2026,4,April,14,Saturday,True
20260405,2026-04-05,2026,4,April,14,Sunday,True
20260406,2026-04-06,2026,4,April,15,Monday,False
20260407,2026-04-07,2026,4,April,15,Tuesday,False
20260408,2026-04-08,2026,4,April,15,Wednesday,False
20260409,2026-04-09,2026,4,April,15,Thursday,False
20260410,2026-04-10,2026,4,April,15,Friday,False
20260411,2026-04-11,2026,4,April,15,Saturday,True
20260412,2026-04-12,2026,4,April,15,Sunday,True
20260413,2026-04-13,2026,4,April,16,Monday,False
20260414,2026-04-14,2026,4,April,16,Tuesday,False
20260415,2026-04-15,2026,4,April,16,Wednesday,False
20260416,2026-04-16,2026,4,April,16,Thursday,False
20260417,2026-04-17,2026,4,April,16,Friday,False
20260418,2026-04-18,2026,4,April,16,Saturday,True
20260419,2026-04-19,2026,4,April,16,Sunday,True
20260420,2026-04-20,2026,4,April,17,Monday,False
20260421,2026-04-21,2026,4,April,17,Tuesday,False
20260422,2026-04-22,2026,4,April,17,Wednesday,False
20260423,2026-04-23,2026,4,April,17,Thursday,False
20260424,2026-04-24,2026,4,April,17,Friday,False
20260425,2026-04-25,2026,4,April,17,Saturday,True
20260426,2026-04-26,2026,4,April,17,Sunday,True
20260427,2026-04-27,2026,4,April,18,Monday,False
20260428,2026-04-28,2026,4,April,18,Tuesday,False
20260429,2026-04-29,2026,4,April,18,Wednesday,False
20260430,2026-04-30,2026,4,April,18,Thursday,False
20260501,2026-05-01,2026,5,May,18,Friday,False
20260502,2026-05-02,2026,5,May,18,Saturday,True
20260503,2026-05-03,2026,5,May,18,Sunday,True
20260504,2026-05-04,2026,5,May,19,Monday,False
20260505,2026-05-05,2026,5,May,19,Tuesday,False
20260506,2026-05-06,2026,5,May,19,Wednesday,False
20260507,2026-05-07,2026,5,May,19,Thursday,False
20260508,2026-05-08,2026,5,May,19,Friday,False
20260509,2026-05-09,2026,5,May,19,Saturday,True
20260510,2026-05-10,2026,5,May,19,Sunday,True
20260511,2026-05-11,2026,5,May,20,Monday,False
20260512,2026-05-12,2026,5,May,20,Tuesday,False
20260513,2026-05-13,2026,5,May,20,Wednesday,False
20260514,2026-05-14,2026,5,May,20,Thursday,False
20260515,2026-05-15,2026,5,May,20,Friday,False
20260516,2026-05-16,2026,5,May,20,Saturday,True
20260517,2026-05-17,2026,5,May,20,Sunday,True
20260518,2026-05-18,2026,5,May,21,Monday,False
20260519,2026-05-19,2026,5,May,21,Tuesday,False
20260520,2026-05-20,2026,5,May,21,Wednesday,False
20260521,2026-05-21,2026,5,May,21,Thursday,False
20260522,2026-05-22,2026,5,May,21,Friday,False
20260523,2026-05-23,2026,5,May,21,Saturday,True
20260524,2026-05-24,2026,5,May,21,Sunday,True
20260525,2026-05-25,2026,5,May,22,Monday,False
20260526,2026-05-26,2026,5,May,22,Tuesday,False
20260527,2026-05-27,2026,5,May,22,Wednesday,False
20260528,2026-05-28,2026,5,May,22,Thursday,False
20260529,2026-05-29,2026,5,May,22,Friday,False
20260530,2026-05-30,2026,5,May,22,Saturday,True
20260531,2026-05-31,2026,5,May,22,Sunday,True
20260601,2026-06-01,2026,6,June,23,Monday,False
20260602,2026-06-02,2026,6,June,23,Tuesday,False
20260603,2026-06-03,2026,6,June,23,Wednesday,False
20260604,2026-06-04,2026,6,June,23,Thursday,False
20260605,2026-06-05,2026,6,June,23,Friday,False
20260606,2026-06-06,2026,6,June,23,Saturday,True
20260607,2026-06-07,2026,6,June,23,Sunday,True
20260608,2026-06-08,2026,6,June,24,Monday,False
20260609,2026-06-09,2026,6,June,24,Tuesday,False
20260610,2026-06-10,2026,6,June,24,Wednesday,False
20260611,2026-06-11,2026,6,June,24,Thursday,False
20260612,2026-06-12,2026,6,June,24,Friday,False
20260613,2026-06-13,2026,6,June,24,Saturday,True
20260614,2026-06-14,2026,6,June,24,Sunday,True
20260615,2026-06-15,2026,6,June,25,Monday,False
20260616,2026-06-16,2026,6,June,25,Tuesday,False
20260617,2026-06-17,2026,6,June,25,Wednesday,False
20260618,2026-06-18,2026,6,June,25,Thursday,False
20260619,2026-06-19,2026,6,June,25,Friday,False
20260620,2026-06-20,2026,6,June,25,Saturday,True
20260621,2026-06-21,2026,6,June,25,Sunday,True
20260622,2026-06-22,2026,6,June,26,Monday,False
20260623,2026-06-23,2026,6,June,26,Tuesday,False
20260624,2026-06-24,2026,6,June,26,Wednesday,False
20260625,2026-06-25,2026,6,June,26,Thursday,False
20260626,2026-06-26,2026,6,June,26,Friday,False
20260627,2026-06-27,2026,6,June,26,Saturday,True
20260628,2026-06-28,2026,6,June,26,Sunday,True
20260629,2026-06-29,2026,6,June,27,Monday,False
20260630,2026-06-30,2026,6,June,27,Tuesday,False
20260701,2026-07-01,2026,7,July,27,Wednesday,False
20260702,2026-07-02,2026,7,July,27,Thursday,False
20260703,2026-07-03,2026,7,July,27,Friday,False
20260704,2026-07-04,2026,7,July,27,Saturday,True
20260705,2026-07-05,2026,7,July,27,Sunday,True
20260706,2026-07-06,2026,7,July,28,Monday,False
20260707,2026-07-07,2026,7,July,28,Tuesday,False
20260708,2026-07-08,2026,7,July,28,Wednesday,False
20260709,2026-07-09,2026,7,July,28,Thursday,False
20260710,2026-07-10,2026,7,July,28,Friday,False
20260711,2026-07-11,2026,7,July,28,Saturday,True
20260712,2026-07-12,2026,7,July,28,Sunday,True
20260713,2026-07-13,2026,7,July,29,Monday,False
20260714,2026-07-14,2026,7,July,29,Tuesday,False
20260715,2026-07-15,2026,7,July,29,Wednesday,False
20260716,2026-07-16,2026,7,July,29,Thursday,False
20260717,2026-07-17,2026,7,July,29,Friday,False
20260718,2026-07-18,2026,7,July,29,Saturday,True
20260719,2026-07-19,2026,7,July,29,Sunday,True
20260720,2026-07-20,2026,7,July,30,Monday,False
20260721,2026-07-21,2026,7,July,30,Tuesday,False
20260722,2026-07-22,2026,7,July,30,Wednesday,False
20260723,2026-07-23,2026,7,July,30,Thursday,False
20260724,2026-07-24,2026,7,July,30,Friday,False
20260725,2026-07-25,2026,7,July,30,Saturday,True
20260726,2026-07-26,2026,7,July,30,Sunday,True
20260727,2026-07-27,2026,7,July,31,Monday,False
20260728,2026-07-28,2026,7,July,31,Tuesday,False
20260729,2026-07-29,2026,7,July,31,Wednesday,False
20260730,2026-07-30,2026,7,July,31,Thursday,False
20260731,2026-07-31,2026,7,July,31,Friday,False
20260801,2026-08-01,2026,8,August,31,Saturday,True
20260802,2026-08-02,2026,8,August,31,Sunday,True
20260803,2026-08-03,2026,8,August,32,Monday,False
20260804,2026-08-04,2026,8,August,32,Tuesday,False
20260805,2026-08-05,2026,8,August,32,Wednesday,False
20260806,2026-08-06,2026,8,August,32,Thursday,False
