slot_id,slot_datetime,provider_id,clinic_id,specialty,slot_status
72,2026-07-08 12:00:00,26,5,Family Medicine,Open
73,2026-07-08 12:00:00,35,6,Behavioral Health,Open
74,2026-07-08 12:00:00,6,1,Internal Medicine,Open
75,2026-07-08 12:00:00,1,1,Family Medicine,Open
76,2026-07-08 12:00:00,25,5,Obstetrics & Gynecology,Released (Cancellation)
77,2026-07-08 12:00:00,17,3,Cardiology,Open
78,2026-07-08 12:00:00,33,6,Behavioral Health,Open
79,2026-07-08 12:00:00,30,5,Family Medicine,Open
80,2026-07-08 12:00:00,32,6,Dermatology,Released (Cancellation)
81,2026-07-08 12:30:00,13,3,Internal Medicine,Open
82,2026-07-08 12:30:00,3,1,Family Medicine,Released (Cancellation)
83,2026-07-08 12:30:00,31,6,Behavioral Health,Open
84,2026-07-08 12:30:00,34,6,Dermatology,Open
85,2026-07-08 12:30:00,27,5,Obstetrics & Gynecology,Open
86,2026-07-08 12:30:00,12,2,Internal Medicine,Open
87,2026-07-08 12:30:00,7,2,Family Medicine,Open
88,2026-07-08 12:30:00,8,2,Internal Medicine,Open
89,2026-07-08 12:30:00,20,4,Family Medicine,Released (Cancellation)
90,2026-07-08 13:00:00,34,6,Dermatology,Open
91,2026-07-08 13:00:00,18,3,Endocrinology,Open
92,2026-07-08 13:00:00,25,5,Obstetrics & Gynecology,Open
93,2026-07-08 13:00:00,17,3,Cardiology,Released (Cancellation)
94,2026-07-08 13:00:00,28,5,Family Medicine,Open
95,2026-07-08 13:00:00,15,3,Endocrinology,Open
96,2026-07-08 13:30:00,18,3,Endocrinology,Open
97,2026-07-08 13:30:00,31,6,Behavioral Health,Open
98,2026-07-08 13:30:00,25,5,Obstetrics & Gynecology,Released (Cancellation)
99,2026-07-08 13:30:00,26,5,Family Medicine,Open
100,2026-07-08 13:30:00,23,4,Pediatrics,Open
101,2026-07-08 13:30:00,35,6,Behavioral Health,Open
102,2026-07-08 13:30:00,4,1,Internal Medicine,Open
103,2026-07-08 13:30:00,8,2,Internal Medicine,Open
104,2026-07-08 13:30:00,3,1,Family Medicine,Open
105,2026-07-08 13:30:00,2,1,Internal Medicine,Open
106,2026-07-08 13:30:00,34,6,Dermatology,Open
107,2026-07-08 13:30:00,27,5,Obstetrics & Gynecology,Open
108,2026-07-08 13:30:00,12,2,Internal Medicine,Open
109,2026-07-08 13:30:00,11,2,Family Medicine,Open
110,2026-07-08 14:00:00,22,4,Family Medicine,Open
111,2026-07-08 14:00:00,28,5,Family Medicine,Open
112,2026-07-08 14:00:00,34,6,Dermatology,Open
113,2026-07-08 14:00:00,7,2,Family Medicine,Open
114,2026-07-08 14:00:00,13,3,Internal Medicine,Open
115,2026-07-08 14:00:00,12,2,Internal Medicine,Open
116,2026-07-08 14:00:00,2,1,Internal Medicine,Open
117,2026-07-08 14:00:00,35,6,Behavioral Health,Open
118,2026-07-08 14:00:00,18,3,Endocrinology,Open
119,2026-07-08 14:30:00,17,3,Cardiology,Open
120,2026-07-08 14:30:00,19,4,Pediatrics,Open
121,2026-07-08 14:30:00,23,4,Pediatrics,Open
122,2026-07-08 15:00:00,22,4,Family Medicine,Open
123,2026-07-08 15:00:00,29,5,Obstetrics & Gynecology,Released (Cancellation)
124,2026-07-08 15:00:00,25,5,Obstetrics & Gynecology,Open
125,2026-07-08 15:00:00,9,2,Family Medicine,Released (Cancellation)
126,2026-07-08 15:00:00,19,4,Pediatrics,Open
127,2026-07-08 15:00:00,20,4,Family Medicine,Open
128,2026-07-08 15:00:00,6,1,Internal Medicine,Open
129,2026-07-09 08:00:00,21,4,Pediatrics,Open
130,2026-07-09 08:00:00,16,3,Internal Medicine,Open
131,2026-07-09 08:00:00,20,4,Family Medicine,Open
132,2026-07-09 08:00:00,5,1,Family Medicine,Open
133,2026-07-09 08:00:00,26,5,Family Medicine,Released (Cancellation)
134,2026-07-09 08:00:00,18,3,Endocrinology,Open
135,2026-07-09 08:00:00,8,2,Internal Medicine,Open
136,2026-07-09 08:00:00,4,1,Internal Medicine,Open
137,2026-07-09 08:00:00,11,2,Family Medicine,Open
138,2026-07-09 08:00:00,28,5,Family Medicine,Open
139,2026-07-09 08:30:00,36,6,Dermatology,Open
140,2026-07-09 08:30:00,15,3,Endocrinology,Released (Cancellation)
141,2026-07-09 08:30:00,16,3,Internal Medicine,Open
142,2026-07-09 08:30:00,13,3,Internal Medicine,Open
143,2026-07-09 08:30:00,21,4,Pediatrics,Open
144,2026-07-09 08:30:00,7,2,Family Medicine,Open
145,2026-07-09 08:30:00,33,6,Behavioral Health,Released (Cancellation)
146,2026-07-09 08:30:00,28,5,Family Medicine,Released (Cancellation)
147,2026-07-09 08:30:00,8,2,Internal Medicine,Open
148,2026-07-09 08:30:00,2,1,Internal Medicine,Open
149,2026-07-09 09:00:00,5,1,Family Medicine,Open
150,2026-07-09 09:00:00,27,5,Obstetrics & Gynecology,Open
151,2026-07-09 09:00:00,34,6,Dermatology,Open
152,2026-07-09 09:00:00,7,2,Family Medicine,Open
153,2026-07-09 09:00:00,20,4,Family Medicine,Open
154,2026-07-09 09:00:00,26,5,Family Medicine,Open
155,2026-07-09 09:00:00,9,2,Family Medicine,Open
156,2026-07-09 09:00:00,35,6,Behavioral Health,Open
157,2026-07-09 09:00:00,2,1,Internal Medicine,Open
158,2026-07-09 09:00:00,29,5,Obstetrics & Gynecology,Open
159,2026-07-09 09:00:00,13,3,Internal Medicine,Open
160,2026-07-09 09:30:00,15,3,Endocrinology,Released (Cancellation)
161,2026-07-09 09:30:00,7,2,Family Medicine,Open
162,2026-07-09 09:30:00,27,5,Obstetrics & Gynecology,Open
163,2026-07-09 09:30:00,23,4,Pediatrics,Open
164,2026-07-09 09:30:00,29,5,Obstetrics & Gynecology,Open
165,2026-07-09 09:30:00,28,5,Family Medicine,Open
166,2026-07-09 09:30:00,13,3,Internal Medicine,Released (Cancellation)
167,2026-07-09 09:30:00,21,4,Pediatrics,Open
168,2026-07-09 09:30:00,10,2,Internal Medicine,Open
169,2026-07-09 09:30:00,2,1,Internal Medicine,Open
170,2026-07-09 09:30:00,20,4,Family Medicine,Released (Cancellation)
171,2026-07-09 10:00:00,31,6,Behavioral Health,Open
172,2026-07-09 10:00:00,24,4,Family Medicine,Open
173,2026-07-09 10:00:00,15,3,Endocrinology,Released (Cancellation)
174,2026-07-09 10:00:00,7,2,Family Medicine,Released (Cancellation)
175,2026-07-09 10:00:00,6,1,Internal Medicine,Open
176,2026-07-09 10:00:00,28,5,Family Medicine,Released (Cancellation)
177,2026-07-09 10:00:00,9,2,Family Medicine,Open
178,2026-07-09 10:00:00,11,2,Family Medicine,Open
179,2026-07-09 10:00:00,1,1,Family Medicine,Open
180,2026-07-09 10:00:00,18,3,Endocrinology,Open
181,2026-07-09 10:30:00,23,4,Pediatrics,Open
182,2026-07-09 10:30:00,27,5,Obstetrics & Gynecology,Open
183,2026-07-09 10:30:00,28,5,Family Medicine,Open
184,2026-07-09 10:30:00,15,3,Endocrinology,Open
185,2026-07-09 10:30:00,19,4,Pediatrics,Open
186,2026-07-09 10:30:00,7,2,Family Medicine,Released (Cancellation)
187,2026-07-09 11:00:00,14,3,Cardiology,Open
188,2026-07-09 11:00:00,1,1,Family Medicine,Open
189,2026-07-09 11:00:00,22,4,Family Medicine,Open
190,2026-07-09 11:00:00,33,6,Behavioral Health,Open
191,2026-07-09 11:00:00,5,1,Family Medicine,Open
192,2026-07-09 11:00:00,23,4,Pediatrics,Open
193,2026-07-09 11:00:00,35,6,Behavioral Health,Open
194,2026-07-09 11:00:00,4,1,Internal Medicine,Open
195,2026-07-09 11:00:00,28,5,Family Medicine,Open
196,2026-07-09 11:00:00,10,2,Internal Medicine,Open
197,2026-07-09 11:00:00,15,3,Endocrinology,Open
198,2026-07-09 11:00:00,31,6,Behavioral Health,Released (Cancellation)
199,2026-07-09 11:00:00,9,2,Family Medicine,Open
200,2026-07-09 11:00:00,11,2,Family Medicine,Open
201,2026-07-09 11:30:00,23,4,Pediatrics,Released (Cancellation)
202,2026-07-09 11:30:00,4,1,Internal Medicine,Open
203,2026-07-09 11:30:00,34,6,Dermatology,Open
204,2026-07-09 11:30:00,19,4,Pediatrics,Open
205,2026-07-09 11:30:00,32,6,Dermatology,Open
206,2026-07-09 11:30:00,25,5,Obstetrics & Gynecology,Open
207,2026-07-09 11:30:00,14,3,Cardiology,Released (Cancellation)
208,2026-07-09 11:30:00,35,6,Behavioral Health,Open
209,2026-07-09 11:30:00,26,5,Family Medicine,Released (Cancellation)
210,2026-07-09 11:30:00,6,1,Internal Medicine,Open
211,2026-07-09 11:30:00,33,6,Behavioral Health,Open
212,2026-07-09 11:30:00,12,2,Internal Medicine,Open
213,2026-07-09 12:00:00,7,2,Family Medicine,Released (Cancellation)
214,2026-07-09 12:00:00,9,2,Family Medicine,Open
215,2026-07-09 12:00:00,31,6,Behavioral Health,Open
216,2026-07-09 12:00:00,2,1,Internal Medicine,Released (Cancellation)
217,2026-07-09 12:00:00,23,4,Pediatrics,Open
218,2026-07-09 12:00:00,13,3,Internal Medicine,Open
219,2026-07-09 12:00:00,30,5,Family Medicine,Open
220,2026-07-09 12:00:00,36,6,Dermatology,Open
221,2026-07-09 12:00:00,6,1,Internal Medicine,Open
222,2026-07-09 12:30:00,33,6,Behavioral Health,Open
223,2026-07-09 12:30:00,23,4,Pediatrics,Open
224,2026-07-09 12:30:00,22,4,Family Medicine,Open
225,2026-07-09 12:30:00,20,4,Family Medicine,Open
226,2026-07-09 12:30:00,19,4,Pediatrics,Open
227,2026-07-09 12:30:00,7,2,Family Medicine,Open
228,2026-07-09 12:30:00,24,4,Family Medicine,Open
229,2026-07-09 12:30:00,27,5,Obstetrics & Gynecology,Open
230,2026-07-09 13:00:00,35,6,Behavioral Health,Released (Cancellation)
231,2026-07-09 13:00:00,34,6,Dermatology,Open
232,2026-07-09 13:00:00,24,4,Family Medicine,Open
233,2026-07-09 13:00:00,17,3,Cardiology,Open
234,2026-07-09 13:00:00,22,4,Family Medicine,Open
235,2026-07-09 13:00:00,32,6,Dermatology,Open
236,2026-07-09 13:00:00,3,1,Family Medicine,Open
237,2026-07-09 13:00:00,29,5,Obstetrics & Gynecology,Open
238,2026-07-09 13:00:00,13,3,Internal Medicine,Open
239,2026-07-09 13:00:00,14,3,Cardiology,Open
240,2026-07-09 13:30:00,11,2,Family Medicine,Open
241,2026-07-09 13:30:00,14,3,Cardiology,Open
242,2026-07-09 13:30:00,16,3,Internal Medicine,Open
243,2026-07-09 13:30:00,18,3,Endocrinology,Open
244,2026-07-09 13:30:00,10,2,Internal Medicine,Open
245,2026-07-09 13:30:00,25,5,Obstetrics & Gynecology,Open
246,2026-07-09 13:30:00,28,5,Family Medicine,Open
247,2026-07-09 13:30:00,30,5,Family Medicine,Open
248,2026-07-09 13:30:00,4,1,Internal Medicine,Open
249,2026-07-09 13:30:00,35,6,Behavioral Health,Open
250,2026-07-09 13:30:00,19,4,Pediatrics,Open
251,2026-07-09 14:00:00,29,5,Obstetrics & Gynecology,Open
252,2026-07-09 14:00:00,21,4,Pediatrics,Open
253,2026-07-09 14:00:00,1,1,Family Medicine,Released (Cancellation)
254,2026-07-09 14:00:00,36,6,Dermatology,Open
255,2026-07-09 14:30:00,31,6,Behavioral Health,Open
256,2026-07-09 14:30:00,20,4,Family Medicine,Open
257,2026-07-09 14:30:00,17,3,Cardiology,Open
258,2026-07-09 14:30:00,19,4,Pediatrics,Open
259,2026-07-09 14:30:00,7,2,Family Medicine,Open
260,2026-07-09 15:00:00,22,4,Family Medicine,Open
261,2026-07-09 15:00:00,1,1,Family Medicine,Open
262,2026-07-09 15:00:00,20,4,Family Medicine,Open
263,2026-07-09 15:00:00,9,2,Family Medicine,Open
264,2026-07-09 15:30:00,6,1,Internal Medicine,Open
265,2026-07-09 15:30:00,4,1,Internal Medicine,Open
266,2026-07-10 08:00:00,11,2,Family Medicine,Released (Cancellation)
267,2026-07-10 08:00:00,22,4,Family Medicine,Open
268,2026-07-10 08:00:00,23,4,Pediatrics,Open
269,2026-07-10 08:00:00,16,3,Internal Medicine,Open
270,2026-07-10 08:00:00,24,4,Family Medicine,Open
271,2026-07-10 08:00:00,6,1,Internal Medicine,Open
272,2026-07-10 08:00:00,15,3,Endocrinology,Open
273,2026-07-10 08:00:00,21,4,Pediatrics,Open
274,2026-07-10 08:00:00,26,5,Family Medicine,Open
275,2026-07-10 08:00:00,5,1,Family Medicine,Open
276,2026-07-10 08:00:00,9,2,Family Medicine,Open
277,2026-07-10 08:00:00,3,1,Family Medicine,Open
278,2026-07-10 08:00:00,27,5,Obstetrics & Gynecology,Open
279,2026-07-10 08:00:00,18,3,Endocrinology,Open
280,2026-07-10 08:30:00,20,4,Family Medicine,Open
281,2026-07-10 08:30:00,36,6,Dermatology,Open
282,2026-07-10 08:30:00,31,6,Behavioral Health,Open
283,2026-07-10 08:30:00,2,1,Internal Medicine,Released (Cancellation)
284,2026-07-10 08:30:00,21,4,Pediatrics,Open
285,2026-07-10 09:00:00,30,5,Family Medicine,Open
286,2026-07-10 09:00:00,3,1,Family Medicine,Open
287,2026-07-10 09:00:00,21,4,Pediatrics,Open
288,2026-07-10 09:00:00,7,2,Family Medicine,Open
289,2026-07-10 09:00:00,31,6,Behavioral Health,Open
290,2026-07-10 09:00:00,25,5,Obstetrics & Gynecology,Open
291,2026-07-10 09:00:00,12,2,Internal Medicine,Released (Cancellation)
292,2026-07-10 09:30:00,26,5,Family Medicine,Released (Cancellation)
293,2026-07-10 09:30:00,35,6,Behavioral Health,Open
294,2026-07-10 09:30:00,8,2,Internal Medicine,Open
295,2026-07-10 09:30:00,25,5,Obstetrics & Gynecology,Open
296,2026-07-10 09:30:00,18,3,Endocrinology,Open
297,2026-07-10 09:30:00,28,5,Family Medicine,Open
298,2026-07-10 09:30:00,10,2,Internal Medicine,Open
299,2026-07-10 09:30:00,36,6,Dermatology,Open
300,2026-07-10 10:00:00,25,5,Obstetrics & Gynecology,Open
301,2026-07-10 10:00:00,1,1,Family Medicine,Open
302,2026-07-10 10:00:00,9,2,Family Medicine,Open
303,2026-07-10 10:00:00,27,5,Obstetrics & Gynecology,Open
304,2026-07-10 10:00:00,8,2,Internal Medicine,Open
305,2026-07-10 10:30:00,32,6,Dermatology,Open
306,2026-07-10 10:30:00,6,1,Internal Medicine,Open
307,2026-07-10 10:30:00,23,4,Pediatrics,Open
308,2026-07-10 10:30:00,1,1,Family Medicine,Open
309,2026-07-10 10:30:00,25,5,Obstetrics & Gynecology,Open
310,2026-07-10 10:30:00,10,2,Internal Medicine,Open
311,2026-07-10 10:30:00,8,2,Internal Medicine,Open
312,2026-07-10 10:30:00,13,3,Internal Medicine,Open
313,2026-07-10 10:30:00,12,2,Internal Medicine,Open
314,2026-07-10 10:30:00,28,5,Family Medicine,Open
315,2026-07-10 10:30:00,31,6,Behavioral Health,Open
316,2026-07-10 11:00:00,15,3,Endocrinology,Open
317,2026-07-10 11:00:00,14,3,Cardiology,Open
318,2026-07-10 11:00:00,34,6,Dermatology,Open
319,2026-07-10 11:00:00,35,6,Behavioral Health,Open
320,2026-07-10 11:00:00,7,2,Family Medicine,Open
321,2026-07-10 11:00:00,17,3,Cardiology,Open
322,2026-07-10 11:00:00,18,3,Endocrinology,Open
323,2026-07-10 11:00:00,27,5,Obstetrics & Gynecology,Released (Cancellation)
324,2026-07-10 11:00:00,28,5,Family Medicine,Open
325,2026-07-10 11:00:00,25,5,Obstetrics & Gynecology,Open
326,2026-07-10 11:00:00,24,4,Family Medicine,Open
327,2026-07-10 11:30:00,11,2,Family Medicine,Open
328,2026-07-10 11:30:00,26,5,Family Medicine,Open
329,2026-07-10 11:30:00,18,3,Endocrinology,Open
330,2026-07-10 11:30:00,15,3,Endocrinology,Open
331,2026-07-10 11:30:00,6,1,Internal Medicine,Open
332,2026-07-10 11:30:00,27,5,Obstetrics & Gynecology,Open
333,2026-07-10 11:30:00,16,3,Internal Medicine,Open
334,2026-07-10 12:00:00,35,6,Behavioral Health,Open
335,2026-07-10 12:00:00,14,3,Cardiology,Released (Cancellation)
336,2026-07-10 12:00:00,10,2,Internal Medicine,Open
337,2026-07-10 12:00:00,29,5,Obstetrics & Gynecology,Open
338,2026-07-10 12:00:00,16,3,Internal Medicine,Open
339,2026-07-10 12:00:00,2,1,Internal Medicine,Open
340,2026-07-10 12:00:00,7,2,Family Medicine,Open
341,2026-07-10 12:00:00,19,4,Pediatrics,Open
342,2026-07-10 12:00:00,28,5,Family Medicine,Released (Cancellation)
343,2026-07-10 12:00:00,17,3,Cardiology,Open
344,2026-07-10 12:00:00,36,6,Dermatology,Open
345,2026-07-10 12:30:00,12,2,Internal Medicine,Open
346,2026-07-10 12:30:00,4,1,Internal Medicine,Open
347,2026-07-10 12:30:00,2,1,Internal Medicine,Open
348,2026-07-10 12:30:00,11,2,Family Medicine,Open
349,2026-07-10 12:30:00,33,6,Behavioral Health,Open
350,2026-07-10 12:30:00,22,4,Family Medicine,Open
351,2026-07-10 12:30:00,30,5,Family Medicine,Open
352,2026-07-10 13:00:00,35,6,Behavioral Health,Released (Cancellation)
353,2026-07-10 13:00:00,24,4,Family Medicine,Open
354,2026-07-10 13:00:00,13,3,Internal Medicine,Open
355,2026-07-10 13:00:00,32,6,Dermatology,Open
356,2026-07-10 13:00:00,4,1,Internal Medicine,Open
357,2026-07-10 13:00:00,14,3,Cardiology,Open
358,2026-07-10 13:00:00,26,5,Family Medicine,Open
359,2026-07-10 13:00:00,18,3,Endocrinology,Open
360,2026-07-10 13:00:00,29,5,Obstetrics & Gynecology,Open
361,2026-07-10 13:00:00,21,4,Pediatrics,Open
362,2026-07-10 13:00:00,23,4,Pediatrics,Open
363,2026-07-10 13:00:00,1,1,Family Medicine,Open
364,2026-07-10 13:00:00,12,2,Internal Medicine,Open
365,2026-07-10 13:30:00,19,4,Pediatrics,Open
366,2026-07-10 13:30:00,13,3,Internal Medicine,Open
367,2026-07-10 13:30:00,36,6,Dermatology,Open
368,2026-07-10 13:30:00,23,4,Pediatrics,Open
369,2026-07-10 13:30:00,28,5,Family Medicine,Open
370,2026-07-10 13:30:00,14,3,Cardiology,Open
371,2026-07-10 13:30:00,11,2,Family Medicine,Open
372,2026-07-10 13:30:00,10,2,Internal Medicine,Released (Cancellation)
373,2026-07-10 13:30:00,33,6,Behavioral Health,Open
374,2026-07-10 13:30:00,18,3,Endocrinology,Open
375,2026-07-10 13:30:00,9,2,Family Medicine,Open
376,2026-07-10 13:30:00,6,1,Internal Medicine,Open
377,2026-07-10 13:30:00,25,5,Obstetrics & Gynecology,Open
378,2026-07-10 14:00:00,35,6,Behavioral Health,Open
379,2026-07-10 14:00:00,6,1,Internal Medicine,Released (Cancellation)
380,2026-07-10 14:00:00,26,5,Family Medicine,Open
381,2026-07-10 14:00:00,34,6,Dermatology,Open
382,2026-07-10 14:00:00,24,4,Family Medicine,Released (Cancellation)
383,2026-07-10 14:00:00,22,4,Family Medicine,Open
384,2026-07-10 14:00:00,21,4,Pediatrics,Open
385,2026-07-10 14:00:00,5,1,Family Medicine,Open
386,2026-07-10 14:30:00,13,3,Internal Medicine,Open
387,2026-07-10 14:30:00,34,6,Dermatology,Released (Cancellation)
388,2026-07-10 14:30:00,6,1,Internal Medicine,Released (Cancellation)
389,2026-07-10 14:30:00,15,3,Endocrinology,Open
390,2026-07-10 14:30:00,1,1,Family Medicine,Open
391,2026-07-10 14:30:00,19,4,Pediatrics,Open
392,2026-07-10 14:30:00,22,4,Family Medicine,Open
393,2026-07-10 14:30:00,8,2,Internal Medicine,Open
394,2026-07-10 14:30:00,7,2,Family Medicine,Open
395,2026-07-10 15:00:00,8,2,Internal Medicine,Open
396,2026-07-10 15:30:00,19,4,Pediatrics,Open
397,2026-07-13 08:00:00,20,4,Family Medicine,Open
398,2026-07-13 08:00:00,11,2,Family Medicine,Open
399,2026-07-13 08:00:00,33,6,Behavioral Health,Open
400,2026-07-13 08:00:00,17,3,Cardiology,Open
401,2026-07-13 08:00:00,35,6,Behavioral Health,Open
402,2026-07-13 08:00:00,25,5,Obstetrics & Gynecology,Open
403,2026-07-13 08:00:00,31,6,Behavioral Health,Open
404,2026-07-13 08:30:00,29,5,Obstetrics & Gynecology,Released (Cancellation)
405,2026-07-13 08:30:00,21,4,Pediatrics,Open
406,2026-07-13 08:30:00,17,3,Cardiology,Open
407,2026-07-13 08:30:00,27,5,Obstetrics & Gynecology,Open
408,2026-07-13 08:30:00,14,3,Cardiology,Open
409,2026-07-13 08:30:00,31,6,Behavioral Health,Open
410,2026-07-13 08:30:00,23,4,Pediatrics,Released (Cancellation)
411,2026-07-13 08:30:00,26,5,Family Medicine,Released (Cancellation)
412,2026-07-13 08:30:00,34,6,Dermatology,Open
413,2026-07-13 09:00:00,31,6,Behavioral Health,Open
414,2026-07-13 09:00:00,12,2,Internal Medicine,Open
415,2026-07-13 09:00:00,9,2,Family Medicine,Open
416,2026-07-13 09:00:00,25,5,Obstetrics & Gynecology,Open
417,2026-07-13 09:00:00,26,5,Family Medicine,Open
418,2026-07-13 09:00:00,33,6,Behavioral Health,Open
419,2026-07-13 09:00:00,18,3,Endocrinology,Open
420,2026-07-13 09:00:00,34,6,Dermatology,Open
421,2026-07-13 09:00:00,22,4,Family Medicine,Open
422,2026-07-13 09:00:00,1,1,Family Medicine,Open
423,2026-07-13 09:00:00,24,4,Family Medicine,Open
424,2026-07-13 09:00:00,36,6,Dermatology,Open
425,2026-07-13 09:00:00,3,1,Family Medicine,Released (Cancellation)
426,2026-07-13 09:00:00,10,2,Internal Medicine,Open
427,2026-07-13 09:00:00,28,5,Family Medicine,Released (Cancellation)
428,2026-07-13 09:30:00,10,2,Internal Medicine,Open
429,2026-07-13 09:30:00,22,4,Family Medicine,Open
430,2026-07-13 09:30:00,25,5,Obstetrics & Gynecology,Open
431,2026-07-13 09:30:00,5,1,Family Medicine,Open
432,2026-07-13 09:30:00,15,3,Endocrinology,Open
433,2026-07-13 09:30:00,18,3,Endocrinology,Open
434,2026-07-13 09:30:00,29,5,Obstetrics & Gynecology,Open
435,2026-07-13 09:30:00,21,4,Pediatrics,Open
436,2026-07-13 09:30:00,17,3,Cardiology,Open
437,2026-07-13 10:00:00,25,5,Obstetrics & Gynecology,Open
438,2026-07-13 10:00:00,22,4,Family Medicine,Open
439,2026-07-13 10:00:00,1,1,Family Medicine,Open
440,2026-07-13 10:00:00,26,5,Family Medicine,Open
441,2026-07-13 10:00:00,24,4,Family Medicine,Open
442,2026-07-13 10:00:00,23,4,Pediatrics,Open
443,2026-07-13 10:00:00,33,6,Behavioral Health,Released (Cancellation)
444,2026-07-13 10:00:00,28,5,Family Medicine,Released (Cancellation)
445,2026-07-13 10:00:00,32,6,Dermatology,Open
446,2026-07-13 10:00:00,14,3,Cardiology,Open
447,2026-07-13 10:30:00,9,2,Family Medicine,Released (Cancellation)
448,2026-07-13 10:30:00,2,1,Internal Medicine,Open
449,2026-07-13 10:30:00,33,6,Behavioral Health,Open
450,2026-07-13 10:30:00,7,2,Family Medicine,Open
451,2026-07-13 10:30:00,8,2,Internal Medicine,Open
452,2026-07-13 10:30:00,23,4,Pediatrics,Open
453,2026-07-13 10:30:00,21,4,Pediatrics,Open
